Roll No,Name,Gender,Age,Parents’ Education,Occupation,Family Income,Attendance (%),Previous Exam Performance,Hours of Study per Day,Hours of Sleep per Day,Class Participation,Assignment Submission Rate (%),Enrolled in Test Preparation Course,Receiving Tuition,Hours of Self-Study per Day,Health Status,Stress Level,Extra-Curricular Activities,Pass or Fail,Source of Study,Expected Percentage,Actual Percentage
1,Rahul,Male,16,UG,Accountant,177794,85.49,65.88,1.5,5.9,Low,83.81,No,Yes,1.2,Good,2,None,Pass,Offline,52,53
2,Manish,Male,14,UG,Accountant,146094,82.63,65.11,1.1,7.8,Low,51.11,Yes,Yes,0.6,Good,1,Dance,Pass,Online,52,53
3,Rahul,Male,18,PG,Doctor,193034,74.42,61.74,4.6,6.1,High,81.63,No,Yes,3.2,Average,4,Dance,Pass,Offline,52,53
4,Abhishek,Male,15,High School,Farmer,424454,71.06,64.33,3.1,8.1,Low,76.21,Yes,No,1.9,Good,5,Art,Pass,Offline,34,29
5,Isha,Female,18,PG,Engineer,107881,68.54,54.7,1.1,6.7,High,86.02,Yes,No,0.1,Excellent,3,Music,Pass,Offline,52,53
6,Simran,Female,15,High School,Farmer,437456,66.51,51.45,1.5,7.3,High,82.4,No,No,3.6,Excellent,2,Dance,Pass,Online,44,43
7,Kavya,Female,14,PG,Doctor,412433,54.96,83.5,1.4,8.8,Low,57,Yes,Yes,0.1,Average,4,Art,Pass,Online,52,53
8,Nikhil,Male,15,High School,Shopkeeper,211536,76.88,88.07,4.3,8.8,Low,51.71,Yes,Yes,1.2,Average,5,Art,Pass,Online,44,42
9,Amit,Male,14,UG,Teacher,112394,93.81,60.91,1.4,7.2,High,69.2,Yes,No,3.9,Excellent,5,Sports,Pass,Offline,52,51
10,Vikram,Male,17,High School,Driver,453142,79.42,91.52,4.3,7.8,Medium,96.67,No,Yes,3.9,Average,2,Sports,Pass,Online,66,69
11,Amit,Male,15,UG,Salesperson,345152,70.25,94.87,3.3,8.5,High,59.24,No,Yes,2.4,Excellent,3,Sports,Pass,Offline,52,53
12,Trisha,Female,17,High School,Driver,381798,93.11,98.65,1.3,8.2,Low,95.82,No,Yes,2.4,Poor,5,Dance,Pass,Online,20,18
13,Harsh,Male,17,PG,Engineer,57329,88.01,55.08,1.8,5.6,Low,59.38,No,Yes,1.2,Excellent,3,None,Pass,Offline,52,53
14,Krishna,Male,14,PG,Manager,54959,93.16,51.91,4.2,8.7,Low,60.61,Yes,No,1.7,Poor,1,None,Pass,Online,52,53
15,Tanya,Female,15,UG,Technician,367371,59.83,54.77,2.1,5.2,Medium,61.4,Yes,No,3.4,Poor,1,None,Pass,Offline,52,53
16,Vivaan,Male,14,High School,Driver,243227,62.69,79.21,5.3,5.8,High,80.53,No,No,0.3,Poor,4,Dance,Pass,Online,59,57
17,Komal,Female,18,High School,Driver,444489,56.65,46.49,4.9,7.9,Medium,54.28,Yes,Yes,3.3,Average,3,Dance,Pass,Offline,64,59
18,Diya,Female,17,UG,Teacher,135733,75.83,73.01,4.8,6.1,Medium,91.39,No,Yes,0,Good,5,Art,Pass,Offline,52,49
19,Vikram,Male,18,UG,Salesperson,460780,70.83,85.28,3.1,7.7,Medium,77.48,Yes,No,3.7,Average,3,None,Pass,Online,52,53
20,Aryan,Male,16,UG,Teacher,394897,80.55,82.17,5.1,6.9,Medium,76.05,Yes,No,3.5,Average,4,None,Pass,Offline,52,53
21,Raj,Male,15,High School,Farmer,73145,64.75,62.13,3.6,6.9,High,57.94,Yes,Yes,3,Poor,1,Dance,Pass,Offline,68,76
22,Manish,Male,14,UG,Clerk,224633,90.88,54.29,4.5,7.2,High,52.17,Yes,Yes,3,Good,2,Sports,Pass,Online,52,53
23,Diya,Female,15,PG,Scientist,79548,80.95,92.64,3.2,5.3,High,52.64,No,No,0.2,Average,5,Music,Pass,Offline,52,48
24,Amit,Male,16,UG,Teacher,429217,63.39,85.11,3,7.1,Low,69.34,No,Yes,1.4,Excellent,4,None,Pass,Offline,52,53
25,Nikita,Female,14,PG,Doctor,287754,98.36,51.82,2.6,8.7,High,70.05,No,No,1.4,Poor,1,Dance,Pass,Online,52,53
26,Swati,Female,18,UG,Teacher,86920,59.58,64.93,4.1,8.7,Low,74.13,No,No,1.8,Average,4,None,Pass,Online,52,53
27,Trisha,Female,15,UG,Accountant,265812,97.57,56.5,1.8,8.2,Medium,86.52,Yes,Yes,1,Excellent,5,Sports,Pass,Online,52,49
28,Krishna,Male,14,UG,Teacher,402857,50.23,75.24,5.6,7.9,Low,73.36,Yes,Yes,3.8,Poor,5,Dance,Pass,Online,52,47
29,Rahul,Male,14,PG,Engineer,234214,63.41,82.51,4.7,7,Medium,82.27,Yes,No,3.4,Average,5,Music,Pass,Offline,52,50
30,Komal,Female,15,UG,Teacher,72863,51.85,55.81,5.3,6.2,High,51.22,No,No,0.3,Poor,2,Sports,Pass,Online,52,53
31,Nikita,Female,17,UG,Salesperson,140722,67.49,88.55,2,7.6,Medium,53.34,No,No,0.9,Good,2,Art,Pass,Online,52,53
